,PRODUCT,PROD_LVL,SPECIALTY,SUB_SPECIALTY,SP_SOURCE,ds,INDICATION,MARKET_FLAG,LEVEL_0_MARKET_FLAG,BIOSIMILAR_MOLECULE,CLASS,METRIC,COMPETITIVE_RX,TOTAL_RX,ALLOCATED_WITHOUT_FDAP_RX,ALLOCATED_WITH_FDAP_RX
186716,Brand16,2,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication2,IV Market,Not Available,Not Available,Class1,NBRX,0.0,,,
186734,Brand9,2,NP,OTHERS,PHARMACY,2024-01-19,Indication1,IV Market,Not Available,Not Available,Class1,TRX,1.6158,,,
186934,Brand2,1,PED,OTHERS,PHARMACY,2024-01-19,Indication7,Other Market,Not Available,Not Available,Class1,MOTRX,19.4344,19.4344,,
187021,Brand29,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Other Market,Other Market,Not Available,Class4,TRX,74.3324,74.3324,,
187082,Brand8,1,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication1,Not Available,Not Available,Not Available,Class1,MOTRX,1909.8337,,,
187225,Brand11,1,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Other Market,Other Market,Not Available,Class1,TRX,249.0199,249.0199,,
187248,Brand36,1,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Oral Market,Oral Market,Not Available,Class2,TRX,344.8936,344.8936,,
187337,Brand31,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class4,NBRX,0.0,,,
187379,Brand8,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class1,MOTRX,2.6059,2.6059,,
187425,Brand3,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Oral Market,Oral Market,Not Available,Class2,TRX,781.2969,781.2969,,
187558,Brand19,2,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Other Market,Other Market,Not Available,Class1,NBRX,0.0,,,
187617,Brand15,2,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Other Market,Other Market,Not Available,Class3,TRX,776.5953,776.5953,883.6711963,919.6771942
187647,Brand8,1,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Not Available,Not Available,Not Available,Class1,TRX,49.6892,,,
187739,Brand9,2,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication4,IV Market,Not Available,Not Available,Class1,TRX,624.8695,624.8695,,
